Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
694,Census Tract 9800,235,Census Tract 1403.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2026,1654,2480
694,Census Tract 9800,236,Census Tract 29,"1/1/2020 - 3/31/2020, Every day, Daily Average",1107,840,1458
694,Census Tract 9800,237,Census Tract 102.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2026,1625,2525
694,Census Tract 9800,238,Census Tract 101.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2227,1754,2826
694,Census Tract 9800,239,Census Tract 102.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2125,1702,2651
694,Census Tract 9800,240,Census Tract 66.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1029,797,1327
694,Census Tract 9800,241,Census Tract 908.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3738,3056,4572
694,Census Tract 9800,242,Census Tract 116.24,"1/1/2020 - 3/31/2020, Every day, Daily Average",3334,2712,4097
694,Census Tract 9800,243,Census Tract 911.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",2804,2268,3465
694,Census Tract 9800,244,Census Tract 906.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3515,2882,4286
694,Census Tract 9800,245,Census Tract 910.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",3008,2396,3776
694,Census Tract 9800,246,Census Tract 906.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",3292,2720,3983
694,Census Tract 9800,247,Census Tract 907.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",3070,2498,3771
694,Census Tract 9800,248,Census Tract 907.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3073,2519,3748
694,Census Tract 9800,249,Census Tract 911.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3138,2529,3893
694,Census Tract 9800,250,Census Tract 903,"1/1/2020 - 3/31/2020, Every day, Daily Average",3718,3127,4419
694,Census Tract 9800,251,Census Tract 909.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3334,2728,4073
694,Census Tract 9800,252,Census Tract 910.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2789,2258,3444
694,Census Tract 9800,253,Census Tract 905.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3953,3268,4781
694,Census Tract 9800,254,Census Tract 909.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",3506,2965,4145
694,Census Tract 9800,255,Census Tract 805.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2236,1792,2789
694,Census Tract 9800,258,Census Tract 406.14,"1/1/2020 - 3/31/2020, Every day, Daily Average",1317,959,1808
694,Census Tract 9800,259,Census Tract 405.18,"1/1/2020 - 3/31/2020, Every day, Daily Average",1258,932,1696
694,Census Tract 9800,260,Census Tract 406.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",1025,728,1441
694,Census Tract 9800,261,Census Tract 234.18,"1/1/2020 - 3/31/2020, Every day, Daily Average",1932,1539,2424
694,Census Tract 9800,262,Census Tract 238.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",1283,992,1658
694,Census Tract 9800,263,Census Tract 910.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2994,2444,3667
694,Census Tract 9800,264,Census Tract 908.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",3411,2797,4158
694,Census Tract 9800,265,Census Tract 908.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",3622,3028,4332
694,Census Tract 9800,266,Census Tract 909.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",3023,2455,3721
694,Census Tract 9800,267,Census Tract 909.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",3007,2391,3781
694,Census Tract 9800,268,Census Tract 403.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",580,312,1077
694,Census Tract 9800,269,Census Tract 910.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",3381,2779,4112
694,Census Tract 9800,270,Census Tract 403.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",720,449,1152
694,Census Tract 9800,271,Census Tract 406.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",1739,1326,2279
694,Census Tract 9800,272,Census Tract 404.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",955,647,1409
694,Census Tract 9800,273,Census Tract 406.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",849,582,1238
694,Census Tract 9800,274,Census Tract 402.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",303,103,889
694,Census Tract 9800,275,Census Tract 404.13,"1/1/2020 - 3/31/2020, Every day, Daily Average",1054,682,1627
694,Census Tract 9800,276,Census Tract 405.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",672,438,1028
694,Census Tract 9800,277,Census Tract 404.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",1037,729,1474
694,Census Tract 9800,278,Census Tract 404.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",867,571,1314
694,Census Tract 9800,279,Census Tract 404.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",918,628,1341
694,Census Tract 9800,280,Census Tract 404.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",1199,869,1654
694,Census Tract 9800,281,Census Tract 221,"1/1/2020 - 3/31/2020, Every day, Daily Average",1709,1305,2237
694,Census Tract 9800,282,Census Tract 238.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1335,1057,1685
694,Census Tract 9800,283,Census Tract 404.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",768,465,1266
694,Census Tract 9800,284,Census Tract 405.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",674,447,1014
694,Census Tract 9800,285,Census Tract 405.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",542,343,854
694,Census Tract 9800,286,Census Tract 701.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",1854,1465,2345
694,Census Tract 9800,287,Census Tract 701.11,"1/1/2020 - 3/31/2020, Every day, Daily Average",1310,931,1842
694,Census Tract 9800,288,Census Tract 703.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",1639,1214,2212
694,Census Tract 9800,289,Census Tract 702.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",1989,1584,2496
694,Census Tract 9800,290,Census Tract 704.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2083,1610,2693
694,Census Tract 9800,291,Census Tract 705.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2255,1683,3019
694,Census Tract 9800,292,Census Tract 703.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",2211,1706,2864
694,Census Tract 9800,293,Census Tract 704.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",2371,1820,3088
694,Census Tract 9800,294,Census Tract 405.13,"1/1/2020 - 3/31/2020, Every day, Daily Average",814,564,1174
694,Census Tract 9800,295,Census Tract 405.14,"1/1/2020 - 3/31/2020, Every day, Daily Average",924,664,1283
694,Census Tract 9800,296,Census Tract 405.15,"1/1/2020 - 3/31/2020, Every day, Daily Average",1012,736,1390
694,Census Tract 9800,297,Census Tract 405.16,"1/1/2020 - 3/31/2020, Every day, Daily Average",1117,824,1512
694,Census Tract 9800,298,Census Tract 1006,"1/1/2020 - 3/31/2020, Every day, Daily Average",2763,1708,4467
694,Census Tract 9800,300,Census Tract 1005.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2624,2058,3344
694,Census Tract 9800,301,Census Tract 1001,"1/1/2020 - 3/31/2020, Every day, Daily Average",3281,2655,4053
694,Census Tract 9800,303,Census Tract 1004,"1/1/2020 - 3/31/2020, Every day, Daily Average",2807,2356,3343
694,Census Tract 9800,304,Census Tract 1003,"1/1/2020 - 3/31/2020, Every day, Daily Average",3003,2496,3612
694,Census Tract 9800,305,Census Tract 406.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",1607,1183,2182
694,Census Tract 9800,306,Census Tract 406.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",838,525,1335
694,Census Tract 9800,307,Census Tract 406.13,"1/1/2020 - 3/31/2020, Every day, Daily Average",1320,971,1792
694,Census Tract 9800,308,Census Tract 302.18,"1/1/2020 - 3/31/2020, Every day, Daily Average",3087,2567,3712
694,Census Tract 9800,309,Census Tract 312.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",1543,1222,1947
694,Census Tract 9800,310,Census Tract 302.24,"1/1/2020 - 3/31/2020, Every day, Daily Average",3083,2509,3787
694,Census Tract 9800,311,Census Tract 312.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",1858,1492,2312
694,Census Tract 9800,312,Census Tract 312.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",1792,1439,2230
694,Census Tract 9800,313,Census Tract 312.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",1871,1508,2319
694,Census Tract 9800,314,Census Tract 305.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",2432,2001,2955
694,Census Tract 9800,315,Census Tract 305.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2214,1794,2730
694,Census Tract 9800,316,Census Tract 306.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2334,1875,2904
694,Census Tract 9800,317,Census Tract 604.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2631,2239,3090
694,Census Tract 9800,318,Census Tract 603.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2774,2254,3413
694,Census Tract 9800,319,Census Tract 604.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",2390,2018,2829
694,Census Tract 9800,320,Census Tract 603.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2430,1967,3000
694,Census Tract 9800,321,Census Tract 603.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2410,1929,3009
694,Census Tract 9800,322,Census Tract 604.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2605,2257,3006
694,Census Tract 9800,323,Census Tract 601.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2700,2295,3175
694,Census Tract 9800,324,Census Tract 602.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2288,1913,2736
694,Census Tract 9800,325,Census Tract 604.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2782,2391,3236
694,Census Tract 9800,326,Census Tract 603.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2216,1783,2753
694,Census Tract 9800,327,Census Tract 601.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2995,2493,3597
694,Census Tract 9800,329,Census Tract 603.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",2377,1983,2848
694,Census Tract 9800,330,Census Tract 603.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",2581,2154,3091
694,Census Tract 9800,331,Census Tract 602.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2029,1640,2508
694,Census Tract 9800,332,Census Tract 114.17,"1/1/2020 - 3/31/2020, Every day, Daily Average",2805,2266,3471
694,Census Tract 9800,333,Census Tract 115.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",3150,2548,3893
694,Census Tract 9800,334,Census Tract 114.16,"1/1/2020 - 3/31/2020, Every day, Daily Average",2934,2348,3666
694,Census Tract 9800,335,Census Tract 114.21,"1/1/2020 - 3/31/2020, Every day, Daily Average",2553,2059,3164
694,Census Tract 9800,336,Census Tract 114.26,"1/1/2020 - 3/31/2020, Every day, Daily Average",3406,2677,4332
694,Census Tract 9800,337,Census Tract 116.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",3082,2497,3803
694,Census Tract 9800,338,Census Tract 116.18,"1/1/2020 - 3/31/2020, Every day, Daily Average",2602,2097,3228
694,Census Tract 9800,339,Census Tract 116.25,"1/1/2020 - 3/31/2020, Every day, Daily Average",2985,2419,3681
694,Census Tract 9800,340,Census Tract 116.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",2852,2309,3521
694,Census Tract 9800,341,Census Tract 77.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",728,528,1002
694,Census Tract 9800,342,Census Tract 96.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1827,1413,2362
694,Census Tract 9800,343,Census Tract 96.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",1900,1473,2450
694,Census Tract 9800,344,Census Tract 98.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1452,1141,1846
694,Census Tract 9800,345,Census Tract 101.19,"1/1/2020 - 3/31/2020, Every day, Daily Average",2301,1814,2918
694,Census Tract 9800,346,Census Tract 101.21,"1/1/2020 - 3/31/2020, Every day, Daily Average",2193,1712,2808
694,Census Tract 9800,347,Census Tract 101.23,"1/1/2020 - 3/31/2020, Every day, Daily Average",2100,1660,2655
694,Census Tract 9800,348,Census Tract 1204,"1/1/2020 - 3/31/2020, Every day, Daily Average",3311,2796,3920
694,Census Tract 9800,349,Census Tract 1202.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2799,2340,3347
694,Census Tract 9800,350,Census Tract 503.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2635,2146,3234
694,Census Tract 9800,351,Census Tract 503.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2071,1632,2627
694,Census Tract 9800,352,Census Tract 503.09,"1/1/2020 - 3/31/2020, Every day, Daily Average",2746,2215,3404
694,Census Tract 9800,353,Census Tract 503.10,"1/1/2020 - 3/31/2020, Every day, Daily Average",2490,2017,3073
694,Census Tract 9800,354,Census Tract 503.13,"1/1/2020 - 3/31/2020, Every day, Daily Average",2262,1772,2886
694,Census Tract 9800,355,Census Tract 228,"1/1/2020 - 3/31/2020, Every day, Daily Average",1715,1404,2093
694,Census Tract 9800,356,Census Tract 229,"1/1/2020 - 3/31/2020, Every day, Daily Average",1745,1409,2160
694,Census Tract 9800,357,Census Tract 214.12,"1/1/2020 - 3/31/2020, Every day, Daily Average",1903,1527,2370
694,Census Tract 9800,358,Census Tract 236.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1475,1197,1816
694,Census Tract 9800,359,Census Tract 213.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",1881,1511,2340
694,Census Tract 9800,360,Census Tract 211.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1996,1598,2492
694,Census Tract 9800,361,Census Tract 214.15,"1/1/2020 - 3/31/2020, Every day, Daily Average",1718,1351,2184
694,Census Tract 9800,362,Census Tract 214.17,"1/1/2020 - 3/31/2020, Every day, Daily Average",1643,1290,2091
694,Census Tract 9800,363,Census Tract 213.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",2299,1865,2833
694,Census Tract 9800,364,Census Tract 503.14,"1/1/2020 - 3/31/2020, Every day, Daily Average",2320,1831,2938
694,Census Tract 9800,365,Census Tract 115.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",3154,2560,3884
694,Census Tract 9800,366,Census Tract 114.22,"1/1/2020 - 3/31/2020, Every day, Daily Average",2658,2127,3320
694,Census Tract 9800,367,Census Tract 114.24,"1/1/2020 - 3/31/2020, Every day, Daily Average",2987,2408,3704
694,Census Tract 9800,368,Census Tract 116.26,"1/1/2020 - 3/31/2020, Every day, Daily Average",3257,2638,4020
694,Census Tract 9800,369,Census Tract 119,"1/1/2020 - 3/31/2020, Every day, Daily Average",976,730,1304
694,Census Tract 9800,370,Census Tract 230,"1/1/2020 - 3/31/2020, Every day, Daily Average",1926,1583,2342
694,Census Tract 9800,371,Census Tract 231.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1604,1288,1997
